Wine Type,Supplier SOH,Variety(ies),Wine Name,Vintage,RRP,Discount RRP,Winery,Website,Location,Supplier Contact Name,Supplier Contact Email,Supplier Contact Phone,Verification Note
White,,Viognier,Viognier 2024,2024,R240.00,,Kleinood,http://www.kleinood.com/,"Blaauwklippen Rd, Stellenbosch, 7600, South Africa",,,021 880 2527,
Red,,Syrah,Syrah 2019,2019,R310.00,,Kleinood,http://www.kleinood.com/,"Blaauwklippen Rd, Stellenbosch, 7600, South Africa",,,021 880 2527,
Red,,Syrah,John Spicer Syrah 2018,2018,"R1,150.00",,Kleinood,http://www.kleinood.com/,"Blaauwklippen Rd, Stellenbosch, 7600, South Africa",,,021 880 2527,
White,,Chenin Blanc,Chenin Blanc (buurman) 2024,2024,R330.00,,Kleinood,http://www.kleinood.com/,"Blaauwklippen Rd, Stellenbosch, 7600, South Africa",,,021 880 2527,
White,,Grenache Blanc,Grenache Blanc (inkommer) 2023,2023,R330.00,,Kleinood,http://www.kleinood.com/,"Blaauwklippen Rd, Stellenbosch, 7600, South Africa",,,021 880 2527,
Red,,Mourvédre,Mourvédre (meevaller) 2023,2023,R460.00,,Kleinood,http://www.kleinood.com/,"Blaauwklippen Rd, Stellenbosch, 7600, South Africa",,,021 880 2527,
Red Blend,,,de Herder Red Blend 2022,2022,R810.00,,Kleinood,http://www.kleinood.com/,"Blaauwklippen Rd, Stellenbosch, 7600, South Africa",,,021 880 2527,
Red Wine,select customers only,,Dornier Chronos,,,,Dornier Wine Estate,http://www.dornier.co.za/,"Dornier Road, Upper Blaauwklippen Rd, Stellenbosch, 7600, South Africa",,,021 880 0557,
Red Wine,select customers only,,Dornier Leda,,,,Dornier Wine Estate,http://www.dornier.co.za/,"Dornier Road, Upper Blaauwklippen Rd, Stellenbosch, 7600, South Africa",,,021 880 0557,
Red Wine,select customers only,,Dornier Scarlette,,,,Dornier Wine Estate,http://www.dornier.co.za/,"Dornier Road, Upper Blaauwklippen Rd, Stellenbosch, 7600, South Africa",,,021 880 0557,
Red Wine,750ml,Tempranillo,Tempranillo Reserve,,R275.00,,Dornier Wine Estate,http://www.dornier.co.za/,"Dornier Road, Upper Blaauwklippen Rd, Stellenbosch, 7600, South Africa",,,021 880 0557,
White Wine,750ml,Pinot Grigio,Pinot Grigio,,R155.00,,Dornier Wine Estate,http://www.dornier.co.za/,"Dornier Road, Upper Blaauwklippen Rd, Stellenbosch, 7600, South Africa",,,021 880 0557,
Red Wine,750ml,Merlot,Cocoa Hill Merlot,,R135.00,,Dornier Wine Estate,http://www.dornier.co.za/,"Dornier Road, Upper Blaauwklippen Rd, Stellenbosch, 7600, South Africa",,,021 880 0557,
Red Wine,750ml,Tinta Barocca,Moordenaarskloof Tinta Barocca,,R335.00,,Dornier Wine Estate,http://www.dornier.co.za/,"Dornier Road, Upper Blaauwklippen Rd, Stellenbosch, 7600, South Africa",,,021 880 0557,
Rosé,750ml,Cabernet Sauvignon,Cocoa Hill Rose,,R125.00,,Dornier Wine Estate,http://www.dornier.co.za/,"Dornier Road, Upper Blaauwklippen Rd, Stellenbosch, 7600, South Africa",,,021 880 0557,
Red Wine,750ml,,Cocoa Hill Ruby Red,2020,R135.00,,Dornier Wine Estate,http://www.dornier.co.za/,"Dornier Road, Upper Blaauwklippen Rd, Stellenbosch, 7600, South Africa",,,021 880 0557,
White Wine,750ml,Sauvignon Blanc,Cocoa Hill Sauvignon Blanc,,R125.00,,Dornier Wine Estate,http://www.dornier.co.za/,"Dornier Road, Upper Blaauwklippen Rd, Stellenbosch, 7600, South Africa",,,021 880 0557,
White Wine,750ml,Chenin Blanc,Cocoa Hill Chenin Blanc,,R125.00,,Dornier Wine Estate,http://www.dornier.co.za/,"Dornier Road, Upper Blaauwklippen Rd, Stellenbosch, 7600, South Africa",,,021 880 0557,
Red Wine,750ml,Malbec,Malbec,,R205.00,,Dornier Wine Estate,http://www.dornier.co.za/,"Dornier Road, Upper Blaauwklippen Rd, Stellenbosch, 7600, South Africa",,,021 880 0557,
Red Wine,750ml,Cabernet Sauvignon,Equanimity Cabernet Sauvignon,,R228.00,,Dornier Wine Estate,http://www.dornier.co.za/,"Dornier Road, Upper Blaauwklippen Rd, Stellenbosch, 7600, South Africa",,,021 880 0557,
Red Wine,750ml,Syrah,Siren Syrah,,R228.00,,Dornier Wine Estate,http://www.dornier.co.za/,"Dornier Road, Upper Blaauwklippen Rd, Stellenbosch, 7600, South Africa",,,021 880 0557,
Red Wine,750ml,Pinotage,Pinotage,,R205.00,,Dornier Wine Estate,http://www.dornier.co.za/,"Dornier Road, Upper Blaauwklippen Rd, Stellenbosch, 7600, South Africa",,,021 880 0557,
Red Wine,750ml,,Cabernet Sauvignon / Merlot,,R205.00,,Dornier Wine Estate,http://www.dornier.co.za/,"Dornier Road, Upper Blaauwklippen Rd, Stellenbosch, 7600, South Africa",,,021 880 0557,
Red Wine,750ml,Merlot,Merlot,2021,R205.00,,Dornier Wine Estate,http://www.dornier.co.za/,"Dornier Road, Upper Blaauwklippen Rd, Stellenbosch, 7600, South Africa",,,021 880 0557,
White Wine,750ml,Chenin Blanc,Moordernaarskloof Chenin Blanc,,R315.00,,Dornier Wine Estate,http://www.dornier.co.za/,"Dornier Road, Upper Blaauwklippen Rd, Stellenbosch, 7600, South Africa",,,021 880 0557,
White Wine,750ml,Semillon,Semillon,2022,R235.00,,Dornier Wine Estate,http://www.dornier.co.za/,"Dornier Road, Upper Blaauwklippen Rd, Stellenbosch, 7600, South Africa",,,021 880 0557,
Red Wine,750ml,,Donatus Red,2019,R410.00,,Dornier Wine Estate,http://www.dornier.co.za/,"Dornier Road, Upper Blaauwklippen Rd, Stellenbosch, 7600, South Africa",,,021 880 0557,
Red Wine,750ml,,Dornier CMD,,R850.00,,Dornier Wine Estate,http://www.dornier.co.za/,"Dornier Road, Upper Blaauwklippen Rd, Stellenbosch, 7600, South Africa",,,021 880 0557,
White,,Sauvignon Blanc,BLAAUWKLIPPEN SAUVIGNON BLANC - 6 X 750ML,,R1 140.00,,Blaauwklippen,http://www.blaauwklippen.com/,"Strand Road, R44 Stellenbosch, Stellenbosch, 7600, South Africa",,,021 880 0133,
White,,Chenin Blanc,BLAAUWKLIPPEN CHENIN BLANC - 6 X 750ML,,R900.00,,Blaauwklippen,http://www.blaauwklippen.com/,"Strand Road, R44 Stellenbosch, Stellenbosch, 7600, South Africa",,,021 880 0133,
Rose,,Rose,BLAAUWKLIPPEN ROSE - 6 X 750ML,,R1 020.00,,Blaauwklippen,http://www.blaauwklippen.com/,"Strand Road, R44 Stellenbosch, Stellenbosch, 7600, South Africa",,,021 880 0133,
Red,,Merlot,BLAAUWKLIPPEN MERLOT - 6 X 750ML,,R1 140.00,,Blaauwklippen,http://www.blaauwklippen.com/,"Strand Road, R44 Stellenbosch, Stellenbosch, 7600, South Africa",,,021 880 0133,
Red,,Shiraz,BLAAUWKLIPPEN SHIRAZ - 6 X 750ML,,R1 140.00,,Blaauwklippen,http://www.blaauwklippen.com/,"Strand Road, R44 Stellenbosch, Stellenbosch, 7600, South Africa",,,021 880 0133,
Red,,Zinfandel,BLAAUWKLIPPEN ZINFANDEL - 6 X 750ML,,R1 140.00,,Blaauwklippen,http://www.blaauwklippen.com/,"Strand Road, R44 Stellenbosch, Stellenbosch, 7600, South Africa",,,021 880 0133,
Sparkling,,Zinfandel,BLAAUWKLIPPEN ZINFANDEL CAP CLASSIQUE - 6 X 750ML,,R1 740.00,,Blaauwklippen,http://www.blaauwklippen.com/,"Strand Road, R44 Stellenbosch, Stellenbosch, 7600, South Africa",,,021 880 0133,
Red,,Cabernet Sauvignon,BLAAUWKLIPPEN CABERNET SAUVIGNON - 6 X 750ML,,R1 740.00,,Blaauwklippen,http://www.blaauwklippen.com/,"Strand Road, R44 Stellenbosch, Stellenbosch, 7600, South Africa",,,021 880 0133,
White,,Chardonnay,BLAAUWKLIPPEN CHARDONNAY - 6 X 750ML,,R1 440.00,,Blaauwklippen,http://www.blaauwklippen.com/,"Strand Road, R44 Stellenbosch, Stellenbosch, 7600, South Africa",,,021 880 0133,
Red,,Malbec,BLAAUWKLIPPEN MALBEC - 6 X 750ML,,R1 740.00,,Blaauwklippen,http://www.blaauwklippen.com/,"Strand Road, R44 Stellenbosch, Stellenbosch, 7600, South Africa",,,021 880 0133,
Red,,Bordeaux Blend,BLAAUWKLIPPEN DBK BORDEAUX BLEND - 6 X 750ML,,R2 100.00,,Blaauwklippen,http://www.blaauwklippen.com/,"Strand Road, R44 Stellenbosch, Stellenbosch, 7600, South Africa",,,021 880 0133,
Dessert,,None,BLAAUWKLIPPEN BEFORE & AFTER NV - 4 X 500ML,,R2 360.00,,Blaauwklippen,http://www.blaauwklippen.com/,"Strand Road, R44 Stellenbosch, Stellenbosch, 7600, South Africa",,,021 880 0133,
Red,,Blend,BLAAUWKLIPPEN 41ST BBC WINNING BLEND - 6 X 1.5L,,R2 100.00,,Blaauwklippen,http://www.blaauwklippen.com/,"Strand Road, R44 Stellenbosch, Stellenbosch, 7600, South Africa",,,021 880 0133,
Red,Currently available,Cabernet Sauvignon,Cabernet Sauvignon,2013,Not Available,Not Available,The Hills Wine,http://www.thehillswine.com/,"Chimanimani, Devon Valley Rd, Stellenbosch, 7600, South Africa",,,021 865 2939,
Red,Currently available,Cabernet Sauvignon,Cabernet Sauvignon,2014,Not Available,Not Available,The Hills Wine,http://www.thehillswine.com/,"Chimanimani, Devon Valley Rd, Stellenbosch, 7600, South Africa",,,021 865 2939,
Red,Currently available,Cabernet Sauvignon,Cabernet Sauvignon,2015,Not Available,Not Available,The Hills Wine,http://www.thehillswine.com/,"Chimanimani, Devon Valley Rd, Stellenbosch, 7600, South Africa",,,021 865 2939,
Red,Currently available,Cabernet Sauvignon,Cabernet Sauvignon,2013,Not Available,Not Available,The Hills Wine,http://www.thehillswine.com/,"Chimanimani, Devon Valley Rd, Stellenbosch, 7600, South Africa",,,021 865 2939,
Red,Currently available,Cabernet Sauvignon,Cabernet Sauvignon,2014,Not Available,Not Available,The Hills Wine,http://www.thehillswine.com/,"Chimanimani, Devon Valley Rd, Stellenbosch, 7600, South Africa",,,021 865 2939,
Red,Currently available,Cabernet Sauvignon,Cabernet Sauvignon,2015,Not Available,Not Available,The Hills Wine,http://www.thehillswine.com/,"Chimanimani, Devon Valley Rd, Stellenbosch, 7600, South Africa",,,021 865 2939,
Red,Not available,Pinotage,Momberg Pinotage 2018 Special Edition,2018,Not available,Not available,Middelvlei Wine Estate,http://www.middelvlei.co.za/,"Middelvlei Wine Estate, Flamingo St, Stellenbosch, 7600, South Africa",,,021 883 2565,
Rosé,Not available,Cinsaut,Middelvlei Cinsaut Rosé,Not available,Not available,Not available,Middelvlei Wine Estate,http://www.middelvlei.co.za/,"Middelvlei Wine Estate, Flamingo St, Stellenbosch, 7600, South Africa",,,021 883 2565,
White,Not available,Chardonnay,Middelvlei Unoaked Chardonnay,Not available,Not available,Not available,Middelvlei Wine Estate,http://www.middelvlei.co.za/,"Middelvlei Wine Estate, Flamingo St, Stellenbosch, 7600, South Africa",,,021 883 2565,
Red,Not available,Pinotage,Middelvlei Free-Run Pinotage,2017,Not available,Not available,Middelvlei Wine Estate,http://www.middelvlei.co.za/,"Middelvlei Wine Estate, Flamingo St, Stellenbosch, 7600, South Africa",,,021 883 2565,
Red,Not available,Shiraz,Middelvlei Shiraz,2017,Not available,Not available,Middelvlei Wine Estate,http://www.middelvlei.co.za/,"Middelvlei Wine Estate, Flamingo St, Stellenbosch, 7600, South Africa",,,021 883 2565,
Red,Not available,Cabernet Sauvignon,Middelvlei Cabernet Sauvignon,2017,Not available,Not available,Middelvlei Wine Estate,http://www.middelvlei.co.za/,"Middelvlei Wine Estate, Flamingo St, Stellenbosch, 7600, South Africa",,,021 883 2565,
Red,Not available,Blend,Momberg Blend,Not available,Not available,Not available,Middelvlei Wine Estate,http://www.middelvlei.co.za/,"Middelvlei Wine Estate, Flamingo St, Stellenbosch, 7600, South Africa",,,021 883 2565,
Rosé,,Pinotage,Beyerskloof Pinotage Rosé 2024,2024,R110.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Rosé,,Pinotage,Beyerskloof Pinotage Rosé 2024,2024,R660.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
White,,Chenin Blanc / Pinotage,Beyerskloof Chenin Blanc / Pinotage 2024,2024,R110.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
White,,Chenin Blanc / Pinotage,Beyerskloof Chenin Blanc / Pinotage 2024,2024,R660.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Sparkling,,,Beyerskloof Vonkel 2020,2020,Price unavailable,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Sparkling,,,Beyerskloof Vonkel 2020,2020,Price unavailable,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Pinotage,Beyerskloof Pinotage 2023,2023,R120.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Pinotage,Beyerskloof Pinotage 2023,2023,R720.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Cabernet Sauvignon / Merlot,Beyerskloof Cabernet Sauvignon / Merlot 2022,2022,R120.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Cabernet Sauvignon / Merlot,Beyerskloof Cabernet Sauvignon / Merlot 2022,2022,R720.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Cape Blend,Beyerskloof Synergy Cape Blend 2022,2022,R160.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Cape Blend,Beyerskloof Synergy Cape Blend 2022,2022,R960.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Pinotage,Beyerskloof Pinotage Reserve 2022,2022,R220.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Pinotage,Beyerskloof Pinotage Reserve 2022,2022,"R1,320.00",,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Cape Blend,Beyerskloof Traildust Cape Blend 2023,2023,R220.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Cape Blend,Beyerskloof Traildust Cape Blend 2023,2023,"R1,320.00",,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Dessert,,Cape Vintage,Beyerskloof Lagare Cape Vintage 2022,2022,R240.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Dessert,,Cape Vintage,Beyerskloof Lagare Cape Vintage 2022,2022,"R1,440.00",,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Pinotage,Beyerskloof Winemakers Pinotage Reserve 2022,2022,Price unavailable,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Pinotage,Beyerskloof Winemakers Pinotage Reserve 2022,2022,Price unavailable,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Pinotage,Beyerskloof Kriekbult Pinotage 2022,2022,R550.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Pinotage,Beyerskloof Kriekbult Pinotage 2022,2022,"R3,300.00",,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Cabernet Sauvignon,Beyerskloof Eerste Ry Cabernet Sauvignon 2021,2021,R700.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Cabernet Sauvignon,Beyerskloof Eerste Ry Cabernet Sauvignon 2021,2021,"R4,200.00",,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Cape Blend,Beyerskloof Faith Cape Blend 2022,2022,"R1,100.00",,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Cape Blend,Beyerskloof Faith Cape Blend 2022,2022,"R6,600.00",,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Pinotage,Beyerskloof Diesel Pinotage 2022,2022,"R1,200.00",,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Pinotage,Beyerskloof Diesel Pinotage 2022,2022,"R7,200.00",,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Pinotage,Beyerskloof Pinotage 2022,2022,R240.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Pinotage,Beyerskloof Pinotage 2022,2022,"R1,440.00",,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Pinotage,Beyerskloof Pinotage 2022,2022,R540.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Rosé,,Pinotage,Beyerskloof Pinotage Rosé 2024,2024,R110.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Rosé,,Pinotage,Beyerskloof Pinotage Rosé 2024,2024,R660.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
White,,Chenin Blanc / Pinotage,Beyerskloof Chenin Blanc / Pinotage 2024,2024,R110.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
White,,Chenin Blanc / Pinotage,Beyerskloof Chenin Blanc / Pinotage 2024,2024,R660.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Sparkling,,,Beyerskloof Vonkel 2020,2020,N/A,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Sparkling,,,Beyerskloof Vonkel 2020,2020,N/A,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Pinotage,Beyerskloof Pinotage 2023,2023,R120.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Pinotage,Beyerskloof Pinotage 2023,2023,R720.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Cabernet Sauvignon / Merlot,Beyerskloof Cabernet Sauvignon / Merlot 2022,2022,R120.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Cabernet Sauvignon / Merlot,Beyerskloof Cabernet Sauvignon / Merlot 2022,2022,R720.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Cape Blend,Beyerskloof Synergy Cape Blend 2022,2022,R160.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Cape Blend,Beyerskloof Synergy Cape Blend 2022,2022,R960.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Pinotage,Beyerskloof Pinotage Reserve 2022,2022,R220.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Pinotage,Beyerskloof Pinotage Reserve 2022,2022,"R1,320.00",,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Cape Blend,Beyerskloof Traildust Cape Blend 2023,2023,R220.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Cape Blend,Beyerskloof Traildust Cape Blend 2023,2023,"R1,320.00",,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Dessert,,Cape Vintage,Beyerskloof Lagare Cape Vintage 2022,2022,R240.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Dessert,,Cape Vintage,Beyerskloof Lagare Cape Vintage 2022,2022,"R1,440.00",,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Pinotage,Beyerskloof Winemakers Pinotage Reserve 2022,2022,N/A,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Pinotage,Beyerskloof Winemakers Pinotage Reserve 2022,2022,N/A,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Pinotage,Beyerskloof Kriekbult Pinotage 2022,2022,R550.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Pinotage,Beyerskloof Kriekbult Pinotage 2022,2022,"R3,300.00",,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Cabernet Sauvignon,Beyerskloof Eerste Ry Cabernet Sauvignon 2021,2021,R700.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Cabernet Sauvignon,Beyerskloof Eerste Ry Cabernet Sauvignon 2021,2021,"R4,200.00",,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Cape Blend,Beyerskloof Faith Cape Blend 2022,2022,"R1,100.00",,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Cape Blend,Beyerskloof Faith Cape Blend 2022,2022,"R6,600.00",,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Pinotage,Beyerskloof Diesel Pinotage 2022,2022,"R1,200.00",,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Pinotage,Beyerskloof Diesel Pinotage 2022,2022,"R7,200.00",,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Pinotage,Beyerskloof Pinotage 2022,2022,R240.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Pinotage,Beyerskloof Pinotage 2022,2022,"R1,440.00",,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Pinotage,Beyerskloof Pinotage 2022,2022,R540.00,,Beyerskloof,https://beyerskloof.co.za/,"Koelenhof Street, R304, Koelenhof, Stellenbosch, 7600, South Africa",,,021 865 2135,
Red,,Syrah,Gravel Hill – Syrah,2019,,,Hartenberg Wine Estate,https://hartenbergestate.com/,"Bottelary Rd, Koelenhof, Stellenbosch, 7605, South Africa",,,021 865 2541,
White,,Riesling,Riesling - Dry Style,2020,,,Hartenberg Wine Estate,https://hartenbergestate.com/,"Bottelary Rd, Koelenhof, Stellenbosch, 7605, South Africa",,,021 865 2541,
Red,,Merlot,Merlot,2019,,,Hartenberg Wine Estate,https://hartenbergestate.com/,"Bottelary Rd, Koelenhof, Stellenbosch, 7605, South Africa",,,021 865 2541,
White,,Chardonnay,The Eleanor – Chardonnay,2020,,,Hartenberg Wine Estate,https://hartenbergestate.com/,"Bottelary Rd, Koelenhof, Stellenbosch, 7605, South Africa",,,021 865 2541,
Red,Out of stock,Cabernet Sauvignon,6 x Neethlingshof 1802 Collection Cabernet Sauvignon 2018,2018,"R3,600.00",N/A,Neethlingshof (1692),http://www.neethlingshof.co.za/,"Polkadraai Rd, Stellenbosch, 7600, South Africa",,,021 883 8988,
Sparkling,Out of stock,N/A,Neethlingshof Cap Classique Brut,NV,R200.00,N/A,Neethlingshof (1692),http://www.neethlingshof.co.za/,"Polkadraai Rd, Stellenbosch, 7600, South Africa",,,021 883 8988,
White,N/A,Sauvignon Blanc,Neethlingshof Estate Sauvignon Blanc,2023,R110.00,N/A,Neethlingshof (1692),http://www.neethlingshof.co.za/,"Polkadraai Rd, Stellenbosch, 7600, South Africa",,,021 883 8988,
White,N/A,Chenin Blanc,Neethlingshof Estate Chenin Blanc,2023,R110.00,N/A,Neethlingshof (1692),http://www.neethlingshof.co.za/,"Polkadraai Rd, Stellenbosch, 7600, South Africa",,,021 883 8988,
White,N/A,N/A,Natural Sweet White,N/A,N/A,N/A,J.C Le Roux,http://www.jcleroux.co.za/,"Devon Valley Rd, Stellenbosch, 7600, South Africa",,,021 865 8200,
